ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
Sones Breed,Out,,,
Smiss,Out,,,
Slavy S B,Ab,Metis,,
Slav F B,Ab,Metis,,
Slary Fb,Out,,,
Sketchison Indian,Out,,,
Siccanie,Out,,,
Sewd,Out,,,
Seviss,Out,,,
Seceders,Out,,,
Sd,Out,,,
Scwash Ind,Out,,,
Scotst,Out,,,
Scotlist,Out,,,
Scotland F B,Ab,Metis,,
Scoth S,Out,,,
Scotelch,Sc,,,
Scotech,Sc,,,
Scotcth,Sc,,,
Scotctch,Sc,,,
Scotchand,Sc,,,
Scotch S B Cree,Ab,Metis,,
Scotch Half Half Breed,Ab,Metis,,
Scotch H B,Ab,Metis,,
Scotch F B,Ab,Metis,,
Scotch Canada,Sc,,,
Scotch C B,Out,,,
Scotch & Irish,Out,,,
Scotch & Can,Out,,,
Scootch,Out,,,
Scoltand,Sc,,,
Scoetk,Out,,,
Scoath,Out,,,
Scoatch,Out,,,
Sco Sca,Out,,,
Sco C,Out,,,
Schotc,Out,,,
Scantinaise,Others,,,
Scandn,Others,,,
Scandia,Others,,,
Scandava,Others,,,
Scad,Out,,,
Sc Irish,Out,,,
Sc Cr B,Out,,,
Sc Canadian,Out,,,
Sc Ca,Out,,,
Sc,Out,,,
Sb Scotch,Out,,,
Sauraga,Out,,,
Sanvage,Out,,,
Sant Fb,Out,,,
Sandiva,Out,,,
Sandish,Out,,,
Sancteaux,Out,,,
Samoan Ob,Ab,Metis,,
S/brd,Out,,,
S. B. Cree,Ab,Metis,,
S Y,Out,,,
S Ir,Out,,,
S Franc,Out,,,
S E B,Out,,,
S Breed Candian,Out,,,
S B Saint,Out,,,
Ruthene,Out,,,
Russien,Rus,,,
Russian Jews,Rus,,,
Russian Fin,Rus,,,
Russco,Out,,,
Rusie,Out,,,
Rushia,Out,,,
Ruisse,Out,,,
Rsb,Out,,,
Roussianie,Out,,,
Roumania,Others,,,
Rouman,Others,,,
Romian J,Others,,,
Romanian J,Others,,,
Romaine,Others,,,
Rom,Out,,,
R Pa,Out,,,
R Irish,Out,,,
Qu,Out,,,
Q Francaise,Out,,,
Pruss,Out,,,
Pron Bom,Out,,,
Prest,Out,,,
Pottawatomie,Out,,,
Portugees,Others,,,
Portugae,Others,,,
Portregese,Others,,,
Portegues,Others,,,
Polynesian,Others,,,
Pols,Others,,,
Polland,Out,,,
Polach,Out,,,
Pensylvania,Out,,,
Penns Dutch,Out,,,
Pen Duch,Out,,,
Partugues,Out,,,
P Jewish,Out,,,
P D,Out,,,
Orthodox,Out,,,
Onfran,Out,,,
Oneida I B,Ab,Metis,,
Ojebway F B,Ab,Metis,,
Ojebway B,Ab,Metis,,
Ohumel Eb,Out,,,
Ob Irish B,Out,,,
O Job,Out,,,
Null Anglaise,Out,,,
Nu Witte,Out,,,
Nowegien,Others,,,
Not Sure,Others,,,
Norwigican,Others,,,
Norwgay,Others,,,
Norweign,Others,,,
Norwegon,Others,,,
Norwegeon,Others,,,
Norweager,Others,,,
Norwégiene,Others,,,
Norvegunne,Others,,,
Norvegiene,Others,,,
Norvagian,Others,,,
Normande,Out,,,
Noregian,Others,,,
Noquis,Out,,,
Non Donne,Out,,,
Noewegien,Out,,,
Nie??,Out,,,
Nicola,Others,,,
Netes P,Out,,,
Neinkish,Out,,,
Negro Fb,Out,,,
Negr,Out,,,
Ne,Out,,,
Muncey O B,Out,,,
Ms,Out,,,
Mowhawk E B,Out,,,
Moutchat,Out,,,
Moravian,Others,,,
Moor,Out,,,
Monx,Out,,,
Montiqsie,Out,,,
Montengrin Saurage,Out,,,
Monl Met Fr,Out,,,
Mong,Out,,,
Molman,Out,,,
Mohawk Ib,Ab,Metis,,
Mohanh,Out,,,
Moh I B,Out,,,
Moh,Out,,,
Mimac Pricker,Out,,,
Micmec Fb,Ab,Metis,,
Micmac Postiche,Ab,Metis,,
Micmac E. B.,Ab,Metis,,
Mic,Out,,,
Mi Iroqoise,Out,,,
Mf Chi,Out,,,
Met Mont Ec,Out,,,
Met Maraily,Out,,,
Maryland,Others,,,
Mant,Out,,,
Manitoba,Others,,,
Mana,Out,,,
Malécite M F,Ab,Metis,,
Mahawk,Out,,,
Mag,Out,,,
Mack S B,Out,,,
Ma Ma Cole Cakoka,Out,,,
M. E.,Out,,,
M Jewish,Out,,,
M Française F,Out,,,
M F Sauteux,Out,,,
M F Cri Cree O B,Ab,Metis,,
M F Cri Cree Irish,Ab,Metis,,
M Ecossaise,Out,,,
M E Ob,Out,,,
M E Cri Cree F,Ab,Metis,,
Lurman,Out,,,
Leyman,Out,,,
L Scotch,Out,,,
Kwagault Cb,Ab,Metis,,
Kur Ah Ral,Ab,,,
Klàwiteis,Out,,,
Kivma,Out,,,
Kitekshaw,Out,,,
Kioma,Out,,,
Kiankish,Out,,,
Kelumaht,Out,,,
Kelseouaht,Out,,,
Kelseanaht,Out,,,
Kais Giult,Out,,,
Juif Polonais,Out,,,
Jue,Out,,,
Jserna,Out,,,
Jrew,Out,,,
Jews Sso,Out,,,
Jewish Hebrew,Others,,,
Jeuish,Out,,,
Jesire,Out,,,
Jersiaise,Out,,,
Jermain,Out,,,
Jawish,Out,,,
Itolion,It,,,
Itlalien,It,,,
Itilan,It,,,
Italriene,It,,,
Italieon,It,,,
Italienie,It,,,
Italieme,It,,,
Italiamer,It,,,
Italiénne,It,,,
Italainn,It,,,
Itaienne,Out,,,
Iselandic,Out,,,
Isandaise,Out,,,
Iroquois Meté,Ab,Metis,,
Irlandrise,Ir,,,
Irlandeise,Ir,,,
Irlandaisz,Ir,,,
Irlanda??,Out,,,
Irlaidaise,Ir,,,
Irishsh,Ir,,,
Irisher,Ir,,,
Irish Sb,Out,,,
Irish O/b,Out,,,
Irish Gypey,Ir,,,
Irish Francaise,Ir,,,
Irish American,Out,,,
Irisech,Out,,,
Irisddia,Out,,,
Iris Can,Out,,,
Ires,Out,,,
Irelandic,Ir,,,
Irelandaiss,Ir,,,
Iranaise,Out,,,
Iralienne,Out,,,
Iraland,Out,,,
Ir R,Out,,,
Ir English,Out,,,
Ir E B,Out,,,
Ingland,Out,,,
Indienne Fb,Out,,,
Indienne 1413,Out,,,
Indians,Out,,,
Indian Spanish B,Ab,Metis,,
Indian Irish B,Ab,Metis,,
Indian I B,Ab,Metis,,
Indian Delomare,Out,,,
Indian Db,Ab,Metis,,
Ind I,Ab,Metis,,
Ind Hb,Ab,Metis,,
In??,Out,,,
Illandis,Out,,,
Illandais,Out,,,
Ilandaie,Out,,,
Ieris,Out,,,
Iclandie,Others,,,
Icelandi,Others,,,
Icelander B,Others,,,
Iatalian,Out,,,
I. B.,Ab,Metis,,
I Hb,Ab,Metis,,
I E,Out,,,
I B Cree,Ab,Metis,,
Huron Indian Ob,Ab,Metis,,
Hungrian,Others,,,
Hungria,Others,,,
Hungrain,Others,,,
Hungaran,Others,,,
Hulandaise,Out,,,
Hougarian,Out,,,
Hope Fb,Out,,,
Hope,Out,,,
Hop Sb,Out,,,
Hongroie,Out,,,
Hongloure,Out,,,
Hong Jew,Out,,,
Hollender,Others,,,
Hollandries,Others,,,
Hollanders,Others,,,
Hollander Duch,Others,,,
Hollader,Others,,,
Holfoey,Out,,,
Holandaise,Others,,,
Holand Dutch,Others,,,
Hirlankiese,Out,,,
Hieron,Out,,,
Hebunx,Out,,,
Hebrw,Others,,,
Hbc,Out,,,
Harrison River,Out,,,
Hamkish,Out,,,
Halland,Out,,,
Hall Breed F,Ab,Metis,,
Halfbreed,Ab,Metis,,
Half Iroq,Out,,,
Half Breed Iroq,Ab,Metis,,
Hai,Out,,,
H Duch,Out,,,
Grnan,Out,,,
Greeks,Others,,,
Greecian,Others,,,
Grece,Out,,,
Gr Ob,Out,,,
Gmande,Out,,,
Gibbewa Sb,Out,,,
Gersaise,Others,,,
Gerna,Others,,,
Gern,Others,,,
Germar,Others,,,
Germane,Others,,,
German French,Others,,,
German Fb,Ab,Metis,,
German Eb,Ab,Metis,,
German Canadian,Others,,,
German C,Others,,,
Germ??,Others,,,
Ger Jew,Out,,,
Gen Indian,Out,,,
Gemor,Out,,,
Gemain,Out,,,
Gelemin,Out,,,
Geam,Out,,,
Garmen,Out,,,
Garma,Out,,,
Galitian,Out,,,
Gédé,Out,,,
G Scotch,Others,,,
G Po,Others,,,
G German,Others,,,
G Ca,Others,,,
Frncais,Out,,,
Frene,Out,,,
French Srced,Out,,,
French S,Out,,,
French R B,Out,,,
French Cree Fb,Ab,Metis,,
French Breed Indian,Ab,Metis,,
French Bend,Out,,,
French B Montagnard,Ab,Metis,,
Frcais,Out,,,
Franxaise,Out,,,
Franch B.,Out,,,
Franch B,Out,,,
Francaise Canadien,Fr,,,
Francaise Anglaise,Out,,,
Françanis,Fr,,,
Frana,Out,,,
Fr Eng,Out,,,
Fr Cree B,Ab,Metis,,
Fr Crce,Out,,,
Fr Canadien,Fr,,,
Forench,Out,,,
Flemish Flamis,Out,,,
Fleming,Out,,,
Flaradale,Out,,,
Flanders,Out,,,
Flandai,Out,,,
Flancaise,Out,,,
Fish,Out,,,
Fillipine,Others,,,
Filandais,Out,,,
Fbi,Out,,,
Fb Huronne,Ab,Metis,,
Fb Canadian,Out,,,
Fan,Out,,,
Faire,Out,,,
F. O. B.,Out,,,
F Ob,Out,,,
F French,Out,,,
F Eng,Out,,,
F Chipewa,Out,,,
F Chip B,Out,,,
F Canadain French,Out,,,
F Canad,Out,,,
F Brad,Out,,,
F B O,Out,,,
Eunglish,Out,,,
Eudetaw,Out,,,
Ethiopain,Out,,,
Etats Unis,Out,,,
Espagna,Out,,,
Ep,Out,,,
Engn,Out,,,
Englse,Out,,,
Englist,Out,,,
English W,Out,,,
English United States,Out,,,
English German,Out,,,
English Fb,Out,,,
English Cb,Out,,,
English Brad,Out,,,
Englirsh,Out,,,
Englirs,Out,,,
Englihs,Out,,,
Englia,Out,,,
Englh,Out,,,
Englers,Out,,,
Englbin,Out,,,
Englard,Out,,,
Englanis,Out,,,
Englang,Out,,,
Engish Ob,Out,,,
Enge,Out,,,
Engand,Out,,,
Eng U E Loyalist,Out,,,
Eng I,Out,,,
Eng H B,Out,,,
Eng France,Out,,,
Eng Cree B,Ab,Metis,,
Eng & Sco,Out,,,
Eng & Ger,Out,,,
En??,Out,,,
En Irish,Out,,,
Emlish,Out,,,
Ema,Out,,,
Elngle,Out,,,
Egpt,Others,,,
Egles,Out,,,
Eglais,Out,,,
Eg B,En,,,
Eerman,Out,,,
Ecpssaose,Out,,,
Ecossis,Sc,,,
Ecossaissè,Sc,,,
Ecossaisee,Sc,,,
Ecossaisé,Sc,,,
Ecoss Française,Out,,,
Ecoss Commis,Out,,,
Ecosoise,Sc,,,
Ecopois,Out,,,
Econassce,Sc,,,
Eccossai,Sc,,,
Ecassais,Sc,,,
Eapaguol,Out,,,
E. R Francaise,Out,,,
E Scot,Out,,,
E Indian,Out,,,
E Hy Breed,Out,,,
E Fb,Out,,,
E F B,Out,,,
E Eb,Ab,Metis,,
E E/b,Ab,Metis,,
E B Indian,Ab,Metis,,
