ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
Bonnehian,Others,,,
Bole,Out,,,
Bokenign,Out,,,
Bohum,Out,,,
Bohmian,Others,,,
Bohmen,Others,,,
Bohiman,Others,,,
Bohenna,Others,,,
Bohemmie,Others,,,
Bohemiesine,Others,,,
Bohemian Austian,Others,,,
Boheme,Others,,,
Boheman,Others,,,
Bohema,Out,,,
Boger,Out,,,
Boer,Out,,,
Boctor Bar Indian,Others,,,
Blz,Out,,,
Blr S/b,Out,,,
Blood E B,Ab,Metis,,
Bllandaise,Out,,,
Blar,Out,,,
Blandis,Out,,,
Blackwater India,Out,,,
Blackwater,Out,,,
Blacke S B,Others,,,
Black Fot,Others,,,
Bi,Out,,,
Bewra,Out,,,
Bestch,Out,,,
Bermudan,Out,,,
Bermudam,Out,,,
Beotch,Out,,,
Belze,Out,,,
Beluan,Out,,,
Beltique,Out,,,
Belsb,Out,,,
Belque,Out,,,
Bel'm,Out,,,
Bellgain,Others,,,
Bella Bdla,Others,,,
Beligium,Others,,,
Beligian,Others,,,
Beliger,Others,,,
Belgyise,Others,,,
Belguin,Others,,,
Belgua,Others,,,
Belgs,Others,,,
Belgrae,Others,,,
Belglsu,Others,,,
Belgion,Others,,,
Belginan,Others,,,
Belgie,Others,,,
Belgian B,Others,,,
Belgiain,Others,,,
Belgia,Others,,,
Belghian,Others,,,
Belger,Others,,,
Belgelish,Others,,,
Belgea,Others,,,
Belge Souto,Others,,,
Belgc,Others,,,
Belgar,Others,,,
Belgae,Others,,,
Belche,Others,,,
Belch,Out,,,
Belaum,Out,,,
Beitch,Out,,,
Begian,Out,,,
Bege,Out,,,
Beetoy,Out,,,
Bee,Out,,,
Bearen,Out,,,
Beanie,Out,,,
Beams,Out,,,
Beamer,Out,,,
Be,Out,,,
Bc India,Out,,,
Bc I,Out,,,
Barazian,Out,,,
Bararian,Out,,,
Bapte Ns De Lac,Out,,,
Bapte N S De Lac Scotch,Out,,,
Baobab,Out,,,
Bamf Irish,Out,,,
Balytz,Out,,,
Bakenrian,Out,,,
Bahamian,Out,,,
Back F B,Out,,,
Bèlge,Out,,,
B Trider,Out,,,
B Scotch,Out,,,
B Sc,Out,,,
B F&f,Out,,,
B Aut,Out,,,
Ayland,Out,,,
Away Kiers,Out,,,
Avabram,Out,,,
Autrienne,Others,,,
Autrictrienne,Others,,,
Autrichin,Others,,,
Autricheine,Others,,,
Autrian,Others,,,
Austrinse,Others,,,
Austrienne,Others,,,
Austriche,Others,,,
Austrican,Others,,,
Austriase,Others,,,
Austrianne,Others,,,
Austrean,Others,,,
Australine,Others,,,
Australian English,Others,,,
Ausrian,Others,,,
Aurtria,Others,,,
Aulander,Others,,,
August French,Others,,,
Augtaise,Others,,,
Auatrian,Others,,,
Attawa,Others,,,
Athwande,Others,,,
Asyria,Others,,,
Astaian,Others,,,
Assaria,Others,,,
Asrerian,Others,,,
Asayrian,Others,,,
As,Out,,,
Arlemarde,Others,,,
Arland,Out,,,
Archaise,Others,,,
Arbugeusine,Others,,,
Aradien,Others,,,
Arabia,Others,,,
Arabe,Out,,,
Ara Vian,Out,,,
Aprian,Out,,,
Apicaine,Out,,,
Ant,Out,,,
Ann,Out,,,
Anlaise,Out,,,
Anieda,Out,,,
Anglsise,Out,,,
Angls Sange,Out,,,
Angls Eng,Out,,,
Anglraise,Out,,,
Anglorise,Out,,,
Angloie,Out,,,
Angloes,Out,,,
Anglo Saxon,Out,,,
Anglner,Out,,,
Anglist,Out,,,
Anglisise,Out,,,
Angliese,Out,,,
Anglicans,Out,,,
Anglian,Out,,,
Angli,Out,,,
Angley,Out,,,
Angleterr,Out,,,
Anglese,Out,,,
Angleis,Out,,,
Angleais,Out,,,
Anglavis,Out,,,
Anglarie,Out,,,
Anglanis,Out,,,
Anglande,Out,,,
Anglaise S,Out,,,
Anglaise M F,Out,,,
Anglaise M,Out,,,
Anglaise Franca,Out,,,
Anglaise ??,Out,,,
Anglais Canadien,Out,,,
Anglais Canadian,Out,,,
Anglairre,Out,,,
Anglails,Out,,,
Angla Fra,Out,,,
Angl.,Out,,,
Angl Tulpor,Out,,,
Anghaise,Out,,,
Anget,Out,,,
Angerine Pep,Out,,,
Angalis,Out,,,
Angale Sadie,Out,,,
Angalaise,Out,,,
Angalais,Out,,,
Angaisse,Out,,,
Angais,Out,,,
Angaie,Out,,,
Ang??ise,Out,,,
Ang East,Out,,,
Anegl,Out,,,
Andlaise,Out,,,
Andglais,Out,,,
Analaise,Out,,,
An Hols,Out,,,
An English,Out,,,
An Eb,Out,,,
Amieican,Others,,,
Amican,Others,,,
Americel Isgend Sersey,Others,,,
Americanse,Others,,,
Americann,Others,,,
Americanie,Others,,,
American Hugenst,Others,,,
American French,Others,,,
American Fb,Others,,,
American Cuban,Others,,,
America India,Others,,,
Americ Japanese,Others,,,
Amerian,Others,,,
Amercane,Others,,,
Amercan Rossia City Min,Others,,,
Amerc,Others,,,
Amer India,Others,,,
Amecan,Others,,,
Amand,Others,,,
Aman,Others,,,
Américiane,Others,,,
Am Pole,Out,,,
Am E,Out,,,
Alumace,Out,,,
Altamont,Out,,,
Alswer Germa,Out,,,
Alsatian,Out,,,
Alriean,Out,,,
Alonquin Fb,Ab,Metis,,
Almunell Francais,Out,,,
Almonte,Out,,,
Almonds,Out,,,
Almogner,Out,,,
Almer??,Out,,,
Almard,Out,,,
Alman??,Out,,,
Alman F,Out,,,
Almagnole,Others,,,
Alméinde,Others,,,
Almánde,Others,,,
Alma,Others,,,
Alm,Others,,,
Allomand,Others,,,
Allmen,Others,,,
Allmanda,Others,,,
Allimand,Others,,,
Allessendo,Others,,,
Allermand,Others,,,
Alleram,Others,,,
Allenwood,Others,,,
Allendale,Others,,,
Allenande,Others,,,
Allenacande,Others,,,
Allemnde,Others,,,
Allemert,Others,,,
Allemanta,Others,,,
Allemans,Others,,,
Allemanque,Others,,,
Allemandette,Others,,,
Allemander,Others,,,
Allemanda,Others,,,
Allemand Candian,Others,,,
Allemam,Others,,,
Allemaise,Others,,,
Allemagre,Others,,,
Allemade,Others,,,
Alleangett,Others,,,
Allande,Out,,,
Allamnde,Out,,,
Allamake,Out,,,
Allam,Out,,,
Allém,Out,,,
Allèmande,Out,,,
Alkmande,Out,,,
Alian,Out,,,
Algonquin Grogan,Ab,Metis,,
Algonquin F,Ab,Metis,,
Algonquin A. B,Ab,Metis,,
Algongain F B,Ab,Metis,,
Algmand,Out,,,
Alemonde,Out,,,
Alemandl,Out,,,
Aleican,Out,,,
Aleanquis,Out,,,
Aldiran,Out,,,
Aldeon Scotch B,Out,,,
Aldeneay,Out,,,
Albmangoo,Out,,,
Alaskan F B,Out,,,
Alaska,Out,,,
Alananda,Out,,,
Akousaht,Out,,,
Ahwha Unis,Out,,,
Ahovarnis,Out,,,
Aho??aht,Out,,,
Ah Wha Mill,Out,,,
Agonand,Out,,,
Agnlaisse,Out,,,
Aglaises,Out,,,
Agippewa,Out,,,
Ag Dutch,Out,,,
Afrigan,Others,,,
Africons,Others,,,
Africian,Others,,,
Africaran,Others,,,
African Race,Others,,,
African Or Nicola,Others,,,
African B,Others,,,
Africaise,Others,,,
Afrecine,Others,,,
Afrane,Others,,,
Afrac Race,Out,,,
Affricane,Out,,,
Aerican,Out,,,
Adwha Auel,Out,,,
Adaven,Out,,,
Ad Ma Al Er Kera Eb,Out,,,
Ad,Out,,,
Acadien,Out,,,
About England,Out,,,
Aborighines I,Out,,,
Abmende,Out,,,
Ablenianite,Out,,,
Abitte,Out,,,
Abinaks,Out,,,
Aberta,Out,,,
Abener Sarivage,Out,,,
Abenbiner,Out,,,
Abenaquis Meté,Ab,Metis,,
Abenaquis Mé,Out,,,
Abam??,Out,,,
Abéneskes,Out,,,
Abénckis,Out,,,
Abènagin,Out,,,
Ab,Out,,,
A M F,Out,,,
A Irish,Out,,,
A German,Out,,,
A Francaise,Out,,,
A Ang,Out,,,
A A M F,Out,,,
A A M E,Out,,,
687 Cadia St Montreal,Out,,,
180.x,Out,,,
1/2 Indian Hb,Others,,,
],Out,,,
??kaka,Out,,,
??ish,Out,,,
??h,Out,,,
??ew,Out,,,
?? People J,Out,,,
?? C B,Out,,,
(ob) Blackfoot,Ab,Metis,,
(e B) Mowhawk,Ab,Metis,,
(c) English Fb,Out,,,
(c) Eenglish B,Out,,,
!,Out,,,
1898,Out,,,
1897,Out,,,
1894,Out,,,
1893,Out,,,
1892,Out,,,
1891,Out,,,
1885,Out,,,
1880,Out,,,
3,Out,,,
1,Out,,,
